iter	Passed	Remaining
896	63007	217962
897	63073	217877
898	63134	217776
899	63199	217686
900	63260	217585
901	63324	217494
902	63385	217390
903	63447	217292
904	63506	217185
905	63568	217088
906	63632	216995
907	63697	216906
908	63758	216806
909	63823	216718
910	63882	216611
911	63944	216514
912	64009	216425
913	64074	216338
914	64158	216316
915	64224	216233
916	64288	216139
917	64352	216051
918	64434	216019
919	64501	215939
920	64577	215890
921	64658	215854
922	64724	215772
923	64787	215679
924	64850	215584
925	64917	215504
926	64983	215419
927	65047	215329
928	65108	215229
929	65171	215136
930	65232	215036
931	65296	214947
932	65360	214856
933	65424	214765
934	65488	214676
935	65555	214595
936	65621	214514
937	65687	214430
938	65749	214335
939	65812	214241
940	65875	214148
941	65940	214062
942	66015	214007
943	66078	213915
944	66141	213823
945	66206	213735
946	66310	213777
947	66374	213686
948	66437	213593
949	66500	213501
950	66563	213409
951	66627	213319
952	66705	213274
953	66769	213185
954	66830	213087
955	66894	212997
956	66959	212912
957	67031	212850
958	67095	212761
959	67165	212691
960	67234	212617
961	67297	212526
962	67363	212442
963	67425	212349
964	67488	212255
965	67546	212150
966	67621	212096
967	67688	212014
968	67748	211916
969	67810	211820
970	67874	211732
971	67939	211648
972	68001	211551
973	68065	211465
974	68129	211374
975	68190	211279
976	68254	211191
977	68317	211100
978	68402	211075
979	68465	210986
980	68528	210896
981	68589	210797
982	68661	210734
983	68724	210643
984	68788	210556
985	68851	210465
986	68917	210382
987	68979	210290
988	69045	210207
989	69109	210121
990	69174	210037
991	69237	209945
992	69302	209862
993	69362	209762
994	69429	209683
995	69491	209589
996	69553	209496
997	69617	209410
998	69681	209324
999	69746	209239
1000	69809	209148
1001	69875	209069
1002	69937	208976
1003	70000	208884
1004	70066	208803
1005	70132	208725
1006	70196	208636
1007	70261	208555
1008	70323	208461
1009	70386	208372
1010	70448	208279
1011	70542	208282
1012	70602	208183
1013	70669	208104
1014	70731	208014
1015	70793	207921
1016	70854	207826
1017	70919	207741
1018	70979	207644
1019	71043	207557
1020	71106	207468
1021	71168	207376
1022	71232	207292
1023	71299	207213
1024	71360	207118
1025	71423	207031
